KATEGORIA,TREŚĆ PYTANIA,PIERWSZA,DRUGA,TRZECIA,CZWARTA,NAZWISKO AUTORA PYTANIA,IMIĘ AUTORA PYTANIA,,,,,,,,,,,,,,,,,,,CZWARTA ODPOWIEDŹ (NIEPRAWIDŁOWA)
200,Aktor Bronisław Cieślak wcielił się w rolę:,komunistycznego milicjanta o kryptonimie 07,agenta o kryptonimie 007,Janosika,dozorcę z serialu 'Alternatywy 4',Herman,Andrzej,,,,,,,,,,,,,,,,,,,dozorcę z serialu 'Alternatywy 4'
200,Data terrorystycznego ataku na budynki WTC w Nowym Yorku to:,11 września 2001 r.,1 września 2001 r.,11 września 2011 r.,4 lipca 2015 r.,Herman,Andrzej,,,,,,,,,,,,,,,,,,,4 lipca 2015 r.
200,"Miernik poziomu dźwięku, to?",sonometr,higrometr,barometr,dozymetr,Herman,Andrzej,,,,,,,,,,,,,,,,,,,dozymetr
200,Ile złotych medali olimpijskich zdobył Adam Małysz?,0,1,2,3,Herman,Andrzej,,,,,,,,,,,,,,,,,,,3
200,Stolicą jakiego kraju jest Montevideo?,Urugwaju,Andory,Malty,Maroko,Kłodawska,Joanna,,,,,,,,,,,,,,,,,,,
200,Kto odnajduje Hefalumpa w Stuwiekowym Lesie?,Maleństwo,Prosiaczek,Kubuś,Krzyś,Kłodawska,Joanna,,,,,,,,,,,,,,,,,,,
500,Album '100 dni do matury' został nagrany przez polskiego rapera o pseudonimie:,Mata,Liroy,Żabson,Taco Hemingway,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Taco Hemingway
500,Tradycyjne gruzińskie chinkali wypełnione są:,mięsem,kozim serem,pieczarkami,owczym serem,Herman,Andrzej,,,,,,,,,,,,,,,,,,,owczym serem
500,Która rzeka jest najdłuższą rzeką Ukrainy?,Dniepr,Prypeć,Desna,Worskla,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Worskla
500,Olaf Lubaszenko nie wyreżyserował filmu?,Psy 2,Sztos,Chłopaki nie płaczą,Kosmici,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Kosmici
500,Na akord można?,pracować,spać,śpiewać,podróżować,Herman,Andrzej,,,,,,,,,,,,,,,,,,,podróżować
500,Pumba z filmu animowanego 'Król Lew' był:,guźcem,lwem,surykatką,żyrafą,Herman,Andrzej,,,,,,,,,,,,,,,,,,,żyrafą
500,Ile tytułów wielkoszlemowych zdobyła Iga Świątek?,3,0,1,4,Herman,Andrzej,,,,,,,,,,,,,,,,,,,4
500,Kultowy serial 'Breaking Bad' został wyprodukowany przez:,Netflix,Canal Plus,Disney Production,Paramount Pictures,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Paramount Pictures
500,Z iloma państwami graniczy Polska?,z siedmioma,z sześcioma,z ośmioma,z pięcioma,Herman,Andrzej,,,,,,,,,,,,,,,,,,,z pięcioma
500,"Jak nazywał się francuski kardynał, znany z powieści 'Trzej Muszkieterowie'",Richelieu,Rivaux,Dunois,D’Artagnan,Kłodawska,Joanna,,,,,,,,,,,,,,,,,,,
500,"Jak miał na nazwisko Adaś, nowy uczeń Akademii Pana Kleksa?",Niezgódka,Nicpoń,Miauczyński,Miodek,Kłodawska,Joanna,,,,,,,,,,,,,,,,,,,
1000,Michael Jordan zdobył tytuły mistrza NBA z drużyną:,Chicago Bulls,Orlando Magic,Houston Rockets,Boston Celtics,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Boston Celtics
1000,Reżyserem filmu 'PitBull' jest:,Patryk Vega,Władysław Pasikowski,Cezary Pazura,Wojciech Smarzowski,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Wojciech Smarzowski
1000,Która z wymienionych osób nie otrzymała Nagrody Nobla?,Krzysztof Penderecki,Władysław Reymont,Lech Wałęsa,Olga Tokarczuk,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Olga Tokarczuk
1000,Co łączy ze sobą rowerowa szprycha?,piastę z obręczą,obręcz z dętką,dętkę z piastą,obręcz z widelcem,Herman,Andrzej,,,,,,,,,,,,,,,,,,,obręcz z widelcem
1000,Co nie jest zakazane w MMA?,duszenie,uderzanie głową,gryzienie,cios w genitalia,Herman,Andrzej,,,,,,,,,,,,,,,,,,,cios w genitalia
1000,"Jak nazywał się największy statek Krzysztofa Kolumba, na którym dotarł do Ameryki?",Santa Maria,Pinta,Nina,Santa Clara,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Santa Clara
1000,Religią dominującą w Japonii jest buddyzm oraz...,szinto,chrześcijaństwo,islam,hindiuzm,Herman,Andrzej,,,,,,,,,,,,,,,,,,,hindiuzm
1000,Najdłuższą rzeką w Polsce jest Wisła. Ile kilometrów mierzy?,1047 km,1134 km,986 km,1006 km,Herman,Andrzej,,,,,,,,,,,,,,,,,,,1006 km
1000,Jaka firma stoi za sukcesem Game Boy?,Nintendo,Qualcomm,Bowser,Xbox,Kłodawska,Joanna,,,,,,,,,,,,,,,,,,,
1000,"Z jakiego kraju pochodził słynny piłkarz, Pele?",Z Brazylii,Z Hiszpanii,Z Kanady,Z Argentyny,Kłodawska,Joanna,,,,,,,,,,,,,,,,,,,
5000,Ilu sąsiadów Polski ma dostęp do morza?,czterech,dwóch,trzech,jeden,Herman,Andrzej,,,,,,,,,,,,,,,,,,,jeden
5000,Główną postać filmu 'Skazani na Showshank' - bankiera skazanego na dożywocie - zagrał:,Tim Robbins,Brad Pitt,Morgan Freeman,George Clooney,Herman,Andrzej,,,,,,,,,,,,,,,,,,,George Clooney
5000,Rybą nie jest?,kraska,świnka,rozpiór,krasnopiórka,Herman,Andrzej,,,,,,,,,,,,,,,,,,,krasnopiórka
5000,Która z wymienionych substancji nie jest związkiem chemicznym?,deuter,woda,celuloza,spirytus,Herman,Andrzej,,,,,,,,,,,,,,,,,,,spirytus
5000,Komiksowym 'dzieckiem' rysownika Boba Kane’a jest:,Batman,Superman,Spiderman,Kapitan Ameryka,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Kapitan Ameryka
5000,Skąd pochodzi Conan Barbarzyńca?,z Cimmerii,z Mordoru,z Rivii,z Oz,Herman,Andrzej,,,,,,,,,,,,,,,,,,,z Oz
5000,"Pierwszy kraj, w którym zaczęto wydawać gazetę codzienną to:",Niemcy,Wielka Brytania,Francja,Szwajcaria,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Szwajcaria
5000,Jaki wybitny aktor amerykański jest potomkiem prezydenta Abrahama Lincolna?,Tom Hanks,Clint Eastwood,Tom Cruise,Anthony Hopkins,Kłodawska,Joanna,,,,,,,,,,,,,,,,,,,
5000,Pod jakim miastem król Jan III Sobieski zadał klęskę Turkom?,pod Wiedniem,pod Monte Cassino,pod Lwowem,pod Grunwaldem,Kłodawska,Joanna,,,,,,,,,,,,,,,,,,,
10000,Film 'Dyktator' z wybitną rolą Charliego Chaplina parodiował postać:,Hitlera,Franco,Stalina,Mussoliniego,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Mussoliniego
10000,Do organizmów jednokomórkowych zaliczamy:,drożdze,gąbki,pierścienice,nowotwory,Herman,Andrzej,,,,,,,,,,,,,,,,,,,nowotwory
10000,Kto napisał słynną operę 'Carmen'?,Georges Bizet,Giuseppe Verdi,Giacomo Puccini,Gioacchino Rossini,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Gioacchino Rossini
10000,Który polski dowódca miał pseudonim Michał Czarnecki?,Romuald Traugutt,Władysław Sikorski,Józef Wysocki,Witold Pilecki,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Witold Pilecki
10000,Ciało dorosłej osoby składa się z 206 kości. Z iloma kośćmi się rodzimy?,ponad 300,całe życie mamy tyle samo,około 180,około 280,Herman,Andrzej,,,,,,,,,,,,,,,,,,,około 280
10000,Jaki jest najstarszy pełny polski przekład Biblii?,Biblia krakowska,Biblia brzeska,Biblia Królowej Zofii,Biblia ks. Wujka,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Biblia ks. Wujka
10000,Z ilu wysp i wysepek składa się Fidżi?,z ponad 830,z 19,około 330,równo 1254,Herman,Andrzej,,,,,,,,,,,,,,,,,,,równo 1254
10000,Które z wymienionych miast leży we włoskiej prowincji Lombardia?,Mediolan,Neapol,Werona,Bergamo,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Bergamo
10000,Które zwierzę nie należy do parzystokopytnych?,nosorożec,hipopotam,okapi,wielbłąd,Herman,Andrzej,,,,,,,,,,,,,,,,,,,wielbłąd
10000,Która z kolei planeta naszego układu jest najgorętsza?,Pierwsza,Druga,Trzecia,Czwarta,Kłodawska,Joanna,,,,,,,,,,,,,,,,,,,
10000,Jak nazywają się najwyzsze góry Wielkiej Brytanii?,Grampiany,Góry Kambryjskie,Góry Kumbryjskie,Góry Penninskie,Kłodawska,Joanna,,,,,,,,,,,,,,,,,,,
50000,Kto jest autorem słynnego cytatu 'Dobrze widzi się tylko sercem. Najważniejsze jest niewidoczne dla oczu'?,Antoine de Saint-Exupéry,Michaił Bułhakow,Wisława Szymborska,Paulo Coelho,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Paulo Coelho
50000,Temudżyn to znany później:,Czingis-han,Kara Mustafa,Sulejman Wspaniały,Marco Polo,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Marco Polo
50000,W którym państwie jednym z języków oficjalnych jest język migowy?,w Nowej Zelandii,w Norwegii,w Szwajcarii,w Stanach Zjednoczonych,Herman,Andrzej,,,,,,,,,,,,,,,,,,,w Stanach Zjednoczonych
50000,Który matematyk jest twórcą geometrii wykreślnej?,Gaspard Monge,Évariste Galois,Leonhard Euler,Pierre Simon de Laplace,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Pierre Simon de Laplace
50000,Jaki wulkan wywołał najpotężniejszą erupcję w zarejestrowanej historii ludzkości?,Tambora,Pinatubo,Santorini,Krakatau,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Krakatau
50000,Który amerykański lotniskowiec został zatopiony w Bitwie o Midway w dniach 4–7 czerwca 1942 r. ?,USS Yorktown,USS Enterprise,USS Hornet,USS George Washington,Herman,Andrzej,,,,,,,,,,,,,,,,,,,USS George Washington
50000,Kto jest autorem pierwszej polskiej powieści nowożytnej?,Ignacy Krasicki,Jan Kochanowski,Jan Potocki,Julian Ursyn Niemcewicz,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Julian Ursyn Niemcewicz
50000,"Kto użyczył głosu chochołowi w 'Weselu"" Wajdy?",Czesław Niemen,Henryk Łapiński,Marek Grechuta,Zbigniew Zamachowski,Kłodawska,Joanna,,,,,,,,,,,,,,,,,,,
50000,"Jak nazywał się mistrz olimpijski, który zagrał w filmie 'Piraci' Polańskiego?",Władysław Komar,Jan Szczepański,Marek Dąbrowski,Józef Zapędzki,Kłodawska,Joanna,,,,,,,,,,,,,,,,,,,
50000,Która rzeka uchodzi do Sekwany w pobliżu Paryża?,Marna,Essonne,Yonne,Oust,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Oust
10000,Który ocean jest największy?,Ocean Spokojny,Ocean Indyjski,Ocean Atlantycki,Ocean Południowy,Kwiatkowski,Mateusz,,,,,,,,,,,,,,,,,,,Ocean Południowy
1000,Ile strun ma altówka?,4,3,5,6,Kwiatkowski,Mateusz,,,,,,,,,,,,,,,,,,,6
5000,Jakiej narodowości był Isaac Newton?,był Anglikiiem,był Amerykaninem,był Francuzem,był Szkotem,Kwiatkowski,Mateusz,,,,,,,,,,,,,,,,,,,był Szkotem
1000,Jaka jest średnia temperatura na ZIemi?,15 stopni,0 stopni,10 stopni,20 stopni,Kwiatkowski,Mateusz,,,,,,,,,,,,,,,,,,,20 stopni
50000,Tenochtitlan to miasto bedące stolicą,Azteków,Inków,Majów,Olmeków,Kwiatkowski,Mateusz,,,,,,,,,,,,,,,,,,,Olmeków
5000,Gdzie u psów znajdują się gruczoły potowe?,Pod opuszkami łap,Pod przednimi łapami,Na języku,Na całym ciele,Kwiatkowski,Mateusz,,,,,,,,,,,,,,,,,,,Na całym ciele
10000,Rzeka Senat leży na terenie,Belgii,Francji,Potugalii,Hiszpani,Kwiatkowski,Mateusz,,,,,,,,,,,,,,,,,,,Hiszpani
200,Jaka firma wyprodukowała konsole Xbox Series X/S?,Microsoft,Sony,Nintendo,Panasonic,Grobela,Dawid,,,,,,,,,,,,,,,,,,,Panasonic
100,Jaka jest stolica Portugalii,Lizbona,Porto,Coimbra,Madryt,Kwiatkowski,Mateusz,,,,,,,,,,,,,,,,,,,Madryt
100,Na jakim kontynencie znajduje się największa pustynia świata?,Antarktyda,Ameryka Południowa,Ameryka Północna,Azja,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,Azja
1000,W jakiej dyscyplinie sportowej sukcesy odnosi Simone Biles?,w gimnastyce,w skoku w dal,w podnoszeniu ciężarów,w pchnięciu kuli,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,w pchnięciu kuli
10000,W jakim mieście znajduje się Galeria Sław NFL?,"Canton, Ohio","Canastota, Nowy York","Alcobendas, Hiszpania",Florencja,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,Florencja
5000,Jaką wysokość ma regulaminowy kosz NBA?,"10 stóp / 3,02 metra","9,84 stóp / 3,00 metry","10,10 stóp / 3,08 metra","10,2 stóp / 3,10 metra",Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,"10,2 stóp / 3,10 metra"
200,W jakiej stolicy znajduje się pomnik Małej Syrenki?,Kopenhaga,Tokyo,Paryż,Dublin,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,Dublin
100,Która część ciała jest w pełni rozwinięta od urodzenia?,oczy,uszy,nos,usta,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,usta
200,Jak nazywa się święto 26 grudnia w Irlandii?,Dzień Świętego Szczepana,Dzień Świętego Patryka,Dzień Pamięci i Uznania,October Bank Holiday,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,October Bank Holiday
5000,"Która luka w zabezpieczeniach aplikacji internetowych według OWASP Top 10 na rok 2021, była najczęstsza ?",Broken Access Control,XSS (Cross Site Scripting),IDOR (Insecure Direct Object References),SSRF (Server-side Request Forgery),Łoniewski,Antoni,,,,,,,,,,,,,,,,,,,SSRF (Server-side Request Forgery)
100,"Jakie miasto jest znane jako ""Wieczne Miasto""?",Rzym,Florencja,Werona,Neapol,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,Neapol
100,W jakim muzeum znajdują się Marmury Partenonu?,Muzeum Brytyjskie,Tower Of London,Pałac Buckingham,Muzeum Historii Naturalnej w Londynie,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,Muzeum Historii Naturalnej w Londynie
500,"Jak na imię miał Wokulski, bohater książki Bolesława Prusa pt. 'Lalka' ?",Stanisław,Stefan,Ignacy,Seweryn,Kwiatkowski,Mateusz,,,,,,,,,,,,,,,,,,,Seweryn
1000,Kto jest prekursorem psychoanalizy?,Zygmunt Freuda,Carl Gustav Jung,Henry Murray,Erik Erikson,Łoniewski,Antoni,,,,,,,,,,,,,,,,,,,Erik Erikson
500,"Jaka firma programistyczna ma siedzibę w Redmond, Waszyngton?",Microsoft,Nintendo,iLink System,Lenovo,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,Lenovo
50000,Która klasyfikacja chorób obowiązuje w Polsce ?,ICD - 11,ICD - 10,Dsm - 5,Dsm - 4,Łoniewski,Antoni,,,,,,,,,,,,,,,,,,,Dsm - 4
5000,"Który standard ANSI, wprowadził termin 'ANSI escape codes' ?",X3.64,X3.263,X3.17,X3.182,Łoniewski,Antoni,,,,,,,,,,,,,,,,,,,X3.182
100,Ile minut trwa tydzień?,10080 minut,10120 minut,9980 minut,10020 minut,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,10020 minut
50000,Który utwór Juliusza Słowackiego napisany jest prozą?,Anhelli',Godzina myśli',Arab',W Szwajcarii',Kwiatkowski,Mateusz,,,,,,,,,,,,,,,,,,,W Szwajcarii'
100,Który kod statusu odpowiedzi HTTP oznacza 'OK' ?,200,201,100,302,Łoniewski,Antoni,,,,,,,,,,,,,,,,,,,302
200,"Attyka, Epir, Tesalia, to regiony jakiego państwa?",Grecji,Hiszpani,Włoch,Turcji,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,Turcji
10000,Dawka LD50 wody dla dorosłego człowieka ważącego 75 kilogramów to około:,6 litrów,10 litrów,50 litrów,4.5 litra,Łoniewski,Antoni,,,,,,,,,,,,,,,,,,,4.5 litra
100,"Listwa biegnąca wzdłuż krawędzi jachtu i wystająca na kilka centymetrów ponad pokład, to?",reling,listwa odbojowa,nadburta,bakburta,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,bakburta
200,W hymnie którego państwa jest wzmianka o Polsce?,Włoch,Stanów Zjednoczonych,Szwecji,Hiszpanii,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,Hiszpanii
200,Kto stworzył hymn narodowy Polski?,Józef Wybicki,Jan Dąbrowski,Krzysztof Penderecki,Fryderyk Chopin,Kwiatkowski,Mateusz,,,,,,,,,,,,,,,,,,,Fryderyk Chopin
10000,Reaktory wykorzystywane w Czarnobylu w roku katastrofy to:,RBMK-1000,RBMK-239,RBMK-4,VVER,Łoniewski,Antoni,,,,,,,,,,,,,,,,,,,VVER
100,Topiarz fryty to pracownik?,huty,kopalni,baru szybkiej obsługi,gospodarstwa rybackiego,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,gospodarstwa rybackiego
1000,Amunicją bocznego zapłonu jest nabój w kalibrze:,.22 LR,9x19 Parabellum,5.56x45 NATO,7.62x25 Tokarev,Łoniewski,Antoni,,,,,,,,,,,,,,,,,,,7.62x25 Tokarev
200,Która para zawodników bierze udział w zawodach hippicznych?,jeździec i koń,treser i pies,kierowca i pilot,wioślarz i sternik,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,wioślarz i sternik
200,Które angielskie miasto znane było kiedyś jako Duroliponte?,Cambridge,Birmingham,Edynburg,Sheffield,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,Sheffield
100,Ile stref czasowych jest w Rosji?,11,10,12,9,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,9
200,"W przybliżeniu, ile głów jest na Wyspie Wielkanocnej?",ok. 1000,ok.2000,ok.500,ok.1500,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,ok.1500
10000,Pierwszy znany robak komputerowy wycelowany w systemy ICS i SCADA to:,Stuxnet,Code Red,ILOVEYOU,Toxbot,Łoniewski,Antoni,,,,,,,,,,,,,,,,,,,Toxbot
500,Ile cyfr po przecinku do tej pory ustalono w liczbie Pi?,"62,8 biliona miejsc po przecinku","60,7 biliona miejsc po przecinku","63,8 biliona miejsc po przeciku","62,8 tryliona miejsc po przecinku",Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,"62,8 tryliona miejsc po przecinku"
200,Rosyjski system GNSS to:,GLONASS,BeiDou,QZSS,GPS,Łoniewski,Antoni,,,,,,,,,,,,,,,,,,,GPS
200,Pierwszy etap metody naukowej to ...,badanie,obserwacja,sformułowanie problemu badawczego,powstawanie hipotezy,Herman,Andrzej,,,,,,,,,,,,,,,,,,,powstawanie hipotezy
200,Jaka jest nazwa najdłuższej rzeki w Wielkiej Brytanii?,Severn,Tamiza,Wye,Trent,Maruszak-Zawodnik,Oliwia,,,,,,,,,,,,,,,,,,,Trent
1000,W którym roku zespół Piasta Gliwice został jedyny raz mistrzem Polski w piłce nożnej mężczyzn?,w 2019,w 1975,w 1988,w 2014,Herman,Andrzej,,,,,,,,,,,,,,,,,,,w 2014
500,Ilu zawodników jednej drużyny bierze udział w zawodach futsalu?,4 plus bramkarz,6 plus bramkarz,5 plus bramkarz,9 łącznie z bramkarzem,Herman,Andrzej,,,,,,,,,,,,,,,,,,,9 łącznie z bramkarzem
500,W którym roku powstał Łódzki Klub Sportowy (ŁKS)?,w 1908,w 1910,w 1922,w 1935,Herman,Andrzej,,,,,,,,,,,,,,,,,,,w 1935
1000,"Najwyższym stopniem DEFCON, oznaczającym wojnę jądrową jest liczba:",st.1,st.2,st.4,st.5,Łoniewski,Antoni,,,,,,,,,,,,,,,,,,,st.5
200,Głównym składnikiem piwa jest:,woda,chmiel,sód,cukier,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,cukier
100,Jaki jest najmniejszy ptak na świecie?,koliber,mysikrólik,pingwin mały,strzyżyk,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,strzyżyk
200,Na banknocie 200 zł widnieje portret ...,Zygmunta I Starego,Królowej Jadwigi,Jana III Sobieskiego,Zygmunta III Wazy,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,Zygmunta III Wazy
500,Kto wygrał mistrzostwa świata w piłce nożnej mężczyzn w 2018?,Francja,Belgia,Chorwacja,Anglia,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,Anglia
10000,Chiropterologia zajmuje się badaniem...,nietoperzy,ślimaków,modliszek,sów,Herman,Andrzej,,,,,,,,,,,,,,,,,,,sów
5000,Ostatnia publiczna egzekucja w USA odbyła się w:,1936 r.,1939 r.,1940 r.,1928 r.,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,1928 r.
100,Jaki jest symbol chemiczny złota?,Au,Ag,Ch,Al,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,Al
50000,Elementem budowy mikroskopu nie jest...,igła preparacyjna,rewolwer,tubus,kondensor,Herman,Andrzej,,,,,,,,,,,,,,,,,,,kondensor
200,W którym roku Łódź uzyskała prawa miejskie?,w 1423,w 1523,w 1887,w 1813,Herman,Andrzej,,,,,,,,,,,,,,,,,,,w 1813
100,Kto był pierwszym królem Polski?,Bolesław Chrobry,Mieszko I,Mieszko II Lambert,Kazimierz I Odnowiciel,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Kazimierz I Odnowiciel
100,Ile lat Polska była pod zaborami?,123 lata,121 lat,100 lat,118 lat,Herman,Andrzej,,,,,,,,,,,,,,,,,,,118 lat
1000,Na jakim kontynencie leżą Malediwy?,w Azji,w Europie,w Afryce,w Ameryce Południowej,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,w Ameryce Południowej
50000,W której części świata używa się języka tagalog?,na Filipinach,w Brazylii i Boliwii,na Grenlandii,w Kambodży,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,w Kambodży
10000,Jaką głębokość ma Rów Mariański - najgłębsze odkryte miejsce na ziemi?,ok. 10 900 m.,ok. 11 600 m,ok. 9 900 m,ok. 12 100 m,Herman,Andrzej,,,,,,,,,,,,,,,,,,,ok. 12 100 m
100,Powierzchnia Polski to:,ok. 312 tyś km kw.,ok. 328 tyś km kw.,ok. 299 tyś km kw.,ok. 401 tyś km kw.,Herman,Andrzej,,,,,,,,,,,,,,,,,,,ok. 401 tyś km kw.
200,Ukraina jest?,republiką parlamentarną,dyktaturą,federacją niepodległych państw,monarchią konstytucyjną,Herman,Andrzej,,,,,,,,,,,,,,,,,,,monarchią konstytucyjną
10000,Które z polskich miast ma najlepiej rozwiniętą komunikację trolejbusową?,Gdynia,Opole,Szczecin,Tychy,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,Tychy
1000,Malaria jest chorobą wywoływaną przez:,pierwotniaki,bakterie,wirusy,grzyby,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,grzyby
500,Organizacja kryjąca się pod skrótem WHO to:,Światowa Organizacja Zdrowia,Światowa Organizacja Praw Dziecka,Organizacja Narodów Zjednoczonych,Europejska Organizacja Rozwoju,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Europejska Organizacja Rozwoju
500,Ile arkuszy papieru liczy ryza?,500,100,250,1000,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,1000
5000,Jak duży procent wody na Ziemi stanowi woda słodka?,około 3%,około 9%,około 15%,około 32%,Bogunia,Kacper,,,,,,,,,,,,,,,,,,,około 32%
